Date_reported, Country_code, Country, WHO_region, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths
2020-01-03,CO,Colombia,AMRO,0,0,0,0
2020-01-04,CO,Colombia,AMRO,0,0,0,0
2020-01-05,CO,Colombia,AMRO,0,0,0,0
2020-01-06,CO,Colombia,AMRO,0,0,0,0
2020-01-07,CO,Colombia,AMRO,0,0,0,0
2020-01-08,CO,Colombia,AMRO,0,0,0,0
2020-01-09,CO,Colombia,AMRO,0,0,0,0
2020-01-10,CO,Colombia,AMRO,0,0,0,0
2020-01-11,CO,Colombia,AMRO,0,0,0,0
2020-01-12,CO,Colombia,AMRO,0,0,0,0
2020-01-13,CO,Colombia,AMRO,0,0,0,0
2020-01-14,CO,Colombia,AMRO,0,0,0,0
2020-01-15,CO,Colombia,AMRO,0,0,0,0
2020-01-16,CO,Colombia,AMRO,0,0,0,0
2020-01-17,CO,Colombia,AMRO,0,0,0,0
2020-01-18,CO,Colombia,AMRO,0,0,0,0
2020-01-19,CO,Colombia,AMRO,0,0,0,0
2020-01-20,CO,Colombia,AMRO,0,0,0,0
2020-01-21,CO,Colombia,AMRO,0,0,0,0
2020-01-22,CO,Colombia,AMRO,0,0,0,0
2020-01-23,CO,Colombia,AMRO,0,0,0,0
2020-01-24,CO,Colombia,AMRO,0,0,0,0
2020-01-25,CO,Colombia,AMRO,0,0,0,0
2020-01-26,CO,Colombia,AMRO,0,0,0,0
2020-01-27,CO,Colombia,AMRO,0,0,0,0
2020-01-28,CO,Colombia,AMRO,0,0,0,0
2020-01-29,CO,Colombia,AMRO,0,0,0,0
2020-01-30,CO,Colombia,AMRO,0,0,0,0
2020-01-31,CO,Colombia,AMRO,0,0,0,0
2020-02-01,CO,Colombia,AMRO,0,0,0,0
2020-02-02,CO,Colombia,AMRO,0,0,0,0
2020-02-03,CO,Colombia,AMRO,0,0,0,0
2020-02-04,CO,Colombia,AMRO,0,0,0,0
2020-02-05,CO,Colombia,AMRO,0,0,0,0
2020-02-06,CO,Colombia,AMRO,0,0,0,0
2020-02-07,CO,Colombia,AMRO,0,0,0,0
2020-02-08,CO,Colombia,AMRO,0,0,0,0
2020-02-09,CO,Colombia,AMRO,0,0,0,0
2020-02-10,CO,Colombia,AMRO,0,0,0,0
2020-02-11,CO,Colombia,AMRO,0,0,0,0
2020-02-12,CO,Colombia,AMRO,0,0,0,0
2020-02-13,CO,Colombia,AMRO,0,0,0,0
2020-02-14,CO,Colombia,AMRO,0,0,0,0
2020-02-15,CO,Colombia,AMRO,0,0,0,0
2020-02-16,CO,Colombia,AMRO,0,0,0,0
2020-02-17,CO,Colombia,AMRO,0,0,0,0
2020-02-18,CO,Colombia,AMRO,0,0,0,0
2020-02-19,CO,Colombia,AMRO,0,0,0,0
2020-02-20,CO,Colombia,AMRO,0,0,0,0
2020-02-21,CO,Colombia,AMRO,0,0,0,0
2020-02-22,CO,Colombia,AMRO,0,0,0,0
2020-02-23,CO,Colombia,AMRO,0,0,0,0
2020-02-24,CO,Colombia,AMRO,0,0,0,0
2020-02-25,CO,Colombia,AMRO,0,0,0,0
2020-02-26,CO,Colombia,AMRO,0,0,0,0
2020-02-27,CO,Colombia,AMRO,0,0,0,0
2020-02-28,CO,Colombia,AMRO,0,0,0,0
2020-02-29,CO,Colombia,AMRO,0,0,0,0
2020-03-01,CO,Colombia,AMRO,0,0,0,0
2020-03-02,CO,Colombia,AMRO,0,0,0,0
2020-03-03,CO,Colombia,AMRO,0,0,0,0
2020-03-04,CO,Colombia,AMRO,0,0,0,0
2020-03-05,CO,Colombia,AMRO,0,0,0,0
2020-03-06,CO,Colombia,AMRO,5,5,0,0
2020-03-07,CO,Colombia,AMRO,0,5,0,0
2020-03-08,CO,Colombia,AMRO,0,5,0,0
2020-03-09,CO,Colombia,AMRO,0,5,0,0
2020-03-10,CO,Colombia,AMRO,2,7,0,0
2020-03-11,CO,Colombia,AMRO,0,7,0,0
2020-03-12,CO,Colombia,AMRO,6,13,0,0
2020-03-13,CO,Colombia,AMRO,7,20,0,0
2020-03-14,CO,Colombia,AMRO,8,28,0,0
2020-03-15,CO,Colombia,AMRO,0,28,0,0
2020-03-16,CO,Colombia,AMRO,10,38,0,0
2020-03-17,CO,Colombia,AMRO,11,49,0,0
2020-03-18,CO,Colombia,AMRO,48,97,0,0
2020-03-19,CO,Colombia,AMRO,11,108,0,0
2020-03-20,CO,Colombia,AMRO,37,145,0,0
2020-03-21,CO,Colombia,AMRO,51,196,0,0
2020-03-22,CO,Colombia,AMRO,0,196,0,0
2020-03-23,CO,Colombia,AMRO,0,196,2,2
2020-03-24,CO,Colombia,AMRO,110,306,1,3
2020-03-25,CO,Colombia,AMRO,0,306,0,3
2020-03-26,CO,Colombia,AMRO,164,470,1,4
2020-03-27,CO,Colombia,AMRO,0,470,0,4
2020-03-28,CO,Colombia,AMRO,21,491,2,6
2020-03-29,CO,Colombia,AMRO,48,539,0,6
2020-03-30,CO,Colombia,AMRO,69,608,0,6
